,odds
730,250
731,-310
732,560
733,-714
734,-155
735,124
736,-125
737,102
738,195
739,-245
740,-177
741,140
742,-2000
743,1000
744,-230
745,180
746,370
747,-460
748,-835
749,550
750,-182
751,150
752,240
753,-305
754,163
755,-205
756,280
757,-360
758,116
759,-143
760,-220
761,170
762,-139
763,112
764,195
765,-250
766,-112
767,-112
768,-1000
769,650
770,195
771,-250
772,143
773,-180
774,130
775,-155
776,210
777,-275
778,-450
779,350
780,170
781,-210
782,143
783,-180
784,330
785,-435
786,170
787,-220
788,143
789,-180
790,650
791,-1000
792,225
793,-280
794,-112
795,-110
796,-500
797,370
798,210
799,-275
800,155
801,-195
802,-385
803,295
804,190
805,-245
806,-250
807,195
808,-117
809,-106
810,-265
811,220
812,-112
813,-112
814,-157
815,125
816,-278
817,215
818,135
819,-167
820,-286
821,225
822,-220
823,175
824,-250
825,200
826,-162
827,130
828,-278
829,220
830,152
831,-188
832,320
833,-420
834,-290
835,225
836,-220
837,168
838,-170
839,138
840,110
841,-137
842,220
843,-270
844,-250
845,195
846,-190
847,150
848,350
849,-455
850,-136
851,110
852,-143
853,116
854,-200
855,155
856,-143
857,117
858,-125
859,105
860,-132
861,107
862,180
863,-230
864,-205
865,163
866,160
867,-200
868,-265
869,205
870,170
871,-215
872,-136
873,110
874,-157
875,125
876,-180
877,143
878,150
879,-186
880,-148
881,118
882,-205
883,163
884,-106
885,-117
886,-120
887,-105
888,425
889,-590
890,150
891,-185
892,-110
893,-112
894,270
895,-355
896,-275
897,220
898,128
899,-159
900,150
901,-175
902,-155
903,123
904,-182
905,145
906,-315
907,240
908,116
909,-143
910,-122
911,-103
912,138
913,-175
914,-190
915,150
916,116
917,-143
918,188
919,-240
920,280
921,-375
922,-117
923,-106
924,-175
925,138
926,-200
927,160
928,160
929,-200
930,104
931,-129
932,255
933,-335
934,-180
935,145
936,-230
937,180
938,-175
939,135
940,-910
941,575
942,135
943,-167
944,-137
945,112
946,100
947,-124
948,-110
949,-110
950,-125
951,105
952,105
953,-125
954,-162
955,130
956,310
957,-420
958,-225
959,175
960,188
961,-240
962,340
963,-455
964,-225
965,190
966,-107
967,-117
968,-530
969,380
970,-122
971,100
972,-1000
973,650
974,102
975,-127
976,160
977,-200
978,-114
979,-109
980,106
981,-130
982,-170
983,132
984,122
985,-156
986,-230
987,180
988,135
989,-155
990,165
991,-210
992,-175
993,138
994,104
995,-129
996,-148
997,118
998,108
999,-134
1000,-400
1001,482
1002,112
1003,-139
1004,118
1005,-148
1006,-230
1007,180
1008,399
1009,-398
1010,-225
1011,175
1012,-186
1013,148
1014,-250
1015,195
1016,143
1017,-180
1018,-110
1019,-112
1020,-132
1021,106
1022,236
1023,-348
1024,200
1025,-250
1026,102
1027,-127
1028,230
1029,-305
1030,145
1031,-182
1032,-139
1033,114
1034,210
1035,-275
1036,170
1037,-220
1038,133
1039,-167
1040,-345
1041,260
1042,160
1043,-200
1044,-133
1045,-328
1046,180
1047,-230
1048,-132
1049,107
1050,118
1051,-148
1052,-278
1053,215
1054,155
1055,-195
1056,150
1057,-186
1058,155
1059,-200
1060,-150
1061,120
1062,-1115
1063,650
1064,102
1065,-125
1066,143
1067,-180
1068,-200
1069,155
1070,435
1071,-299
1072,-200
1073,160
1074,110
1075,-136
1076,-101
1077,-100
1078,-220
1079,175
1080,-170
1081,393
1082,155
1083,-195
1084,-235
1085,185
1086,-180
1087,143
1088,160
1089,-200
1090,-335
1091,260
1092,-330
1093,-269
1094,-230
1095,180
1096,265
1097,-455
1098,138
1099,-175
1100,-1250
1101,750
1102,-220
1103,175
1104,-248
1105,-424
1106,357
1107,-338
1108,295
1109,276
1110,-240
1111,188
1112,-110
1113,-112
1114,-229
1115,241
1116,125
1117,-157
1118,-179
1119,-307
1120,400
1121,-560
1122,-265
1123,200
1124,163
1125,-337
1126,-375
1127,285
1128,-1000
1129,650
1130,-235
1131,185
1132,103
1133,-464
1134,489
1135,-145
1136,300
1137,-400
1138,-210
1139,175
1140,-464
1141,416
1142,205
1143,-265
1144,-355
1145,467
1146,-420
1147,310
1148,-315
1149,240
1150,-265
1151,205
1152,-149
1153,-169
1154,-157
1155,125
1156,-152
1157,123
1158,118
1159,-148
1160,-155
1161,125
1162,-105
1163,-118
1164,420
1165,-590
1166,143
1167,-180
1168,-118
1169,-105
1170,-157
1171,125
1172,407
1173,326
1174,-159
1175,128
1176,265
1177,-345
1178,396
1179,288
1180,165
1181,-210
1182,104
1183,-127
1184,-152
1185,123
1186,120
1187,-150
1188,135
1189,-167
1190,175
1191,-225
1192,170
1193,-215
1194,165
1195,-205
1196,-480
1197,350
1198,220
1199,-286
1200,170
1201,-215
1202,-265
1203,205
1204,-205
1205,163
1206,-177
1207,140
1208,-335
1209,250
1210,130
1211,-162
1212,108
1213,433
1214,175
1215,-225
1216,-110
1217,-113
1218,125
1219,-155
1220,-254
1221,159
1222,-200
1223,155
1224,-215
1225,170
1226,145
1227,-180
1228,-105
1229,-118
1230,-215
1231,165
1232,-338
1233,-187
1234,-152
1235,123
1236,143
1237,-177
1238,128
1239,-159
1240,-385
1241,290
1242,275
1243,-360
1244,123
1245,-152
1246,-286
1247,220
1248,201
1249,-449
1250,165
1251,-210
1252,148
1253,-182
1254,220
1255,-278
1256,-196
1257,362
1258,270
1259,-360
1260,-143
1261,115
1262,-200
1263,160
1264,-426
1265,435
1266,185
1267,-235
1268,-115
1269,-108
1270,-150
1271,120
1272,-345
1273,265
1274,-235
1275,185
1276,133
1277,-167
1278,-180
1279,143
1280,280
1281,-375
1282,-278
1283,215
1284,-200
1285,160
1286,180
1287,-230
1288,119
1289,-269
1290,458
1291,232
1292,200
1293,-250
1294,356
1295,113
1296,-285
1297,-414
1298,294
1299,-301
1300,172
1301,398
1302,-237
1303,-415
1304,300
1305,233
1306,-323
1307,440
1308,-159
1309,128
1310,132
1311,-165
1312,650
1313,-1000
1314,200
1315,-250
1316,107
1317,-132
1318,-493
1319,-408
1320,-166
1321,-316
1322,300
1323,-400
1324,-121
1325,-104
1326,-165
1327,132
1328,-175
1329,138
1330,-360
1331,270
1332,-215
1333,170
1334,-182
1335,148
1336,130
1337,236
1338,-200
1339,160
1340,-227
1341,420
1342,128
1343,-157
1344,-132
1345,106
1346,180
1347,230
1348,-480
1349,360
1350,210
1351,-275
1352,100
1353,-177
1354,151
1355,-460
1356,-107
1357,-117
1358,170
1359,-215
1360,310
1361,-420
1362,195
1363,-250
1364,-670
1365,480
1366,525
1367,-770
1368,360
1369,-500
1370,-117
1371,-106
1372,-253
1373,-493
1374,265
1375,-385
1376,-450
1377,-419
1378,-265
1379,205
1380,215
1381,-278
1382,461
1383,167
1384,120
1385,-148
1386,138
1387,-175
1388,-265
1389,205
1390,310
1391,-302
1392,115
1393,-143
1394,-670
1395,480
1396,-167
1397,135
1398,-237
1399,-250
1400,-148
1401,118
1402,150
1403,-186
1404,-176
1405,261
1406,165
1407,-210
1408,-152
1409,123
1410,-369
1411,-202
1412,-112
1413,-400
1414,-345
1415,260
1416,169
1417,319
1418,125
1419,-157
1420,-462
1421,292
1422,405
1423,240
1424,-177
1425,143
1426,-106
1427,-432
1428,-103
1429,-387
1430,300
1431,-400
1432,-260
1433,282
1434,-498
1435,-145
1436,410
1437,-560
1438,-335
1439,250
1440,150
1441,-186
1442,123
1443,-155
1444,165
1445,-205
1446,-112
1447,-112
1448,-157
1449,125
1450,140
1451,-177
1452,240
1453,-315
1454,460
1455,378
1456,226
1457,-221
1458,225
1459,-286
1460,-250
1461,195
1462,430
1463,-590
1464,-186
1465,148
1466,320
1467,-435
1468,185
1469,-245
1470,-625
1471,460
1472,-375
1473,280
1474,-335
1475,250
1476,-343
1477,239
1478,-348
1479,-361
1480,174
1481,-255
1482,-137
1483,112
1484,-245
1485,190
1486,-106
1487,-200
1488,162
1489,-196
1490,164
1491,-129
1492,-200
1493,160
1494,-625
1495,450
1496,380
1497,-530
1498,205
1499,-265
1500,-235
1501,185
1502,-132
1503,107
1504,399
1505,485
1506,120
1507,-150
1508,-196
1509,-103
1510,-163
1511,400
1512,-211
1513,488
1514,-118
1515,-105
1516,-295
1517,-373
1518,-225
1519,175
1520,-250
1521,314
1522,104
1523,-127
1524,123
1525,-152
1526,-130
1527,105
1528,-190
1529,150
1530,400
1531,-560
1532,262
1533,-244
1534,-590
1535,420
1536,-205
1537,163
1538,-130
1539,105
1540,-120
1541,-104
1542,185
1543,-240
1544,525
1545,-770
1546,-205
1547,163
1548,255
1549,-335
1550,-435
1551,330
1552,-180
1553,143
1554,155
1555,-195
1556,325
1557,-435
1558,312
1559,-317
1560,185
1561,-235
1562,-139
1563,114
1564,-345
1565,265
1566,-335
1567,255
1568,-124
1569,100
1570,104
1571,-129
1572,-265
1573,-363
1574,235
1575,-305
1576,-167
1577,133
1578,-625
1579,450
1580,-150
1581,120
1582,-247
1583,470
1584,460
1585,-670
1586,285
1587,-292
1588,-177
1589,143
1590,-192
1591,262
1592,155
1593,-195
1594,-216
1595,-213
1596,-385
1597,295
1598,106
1599,-130
1600,143
1601,-180
1602,-175
1603,138
1604,-488
1605,-265
1606,-195
1607,155
1608,-190
1609,150
1610,-275
1611,210
1612,-225
1613,180
1614,245
1615,-315
1616,450
1617,-625
1618,-200
1619,160
1620,135
1621,-167
1622,205
1623,-265
1624,-360
1625,270
1626,700
1627,-1115
1628,225
1629,-295
1630,-240
1631,188
1632,-114
1633,-109
1634,475
1635,-670
1636,-117
1637,-107
1638,-182
1639,145
1640,125
1641,-155
1642,-560
1643,410
1644,165
1645,-210
1646,310
1647,-420
1648,123
1649,-152
1650,235
1651,-305
1652,-186
1653,148
1654,-215
1655,170
1656,-215
1657,170
1658,160
1659,-200
1660,150
1661,-190
1662,-400
1663,310
1664,-175
1665,143
1666,-115
1667,-104
1668,135
1669,-167
1670,-136
1671,110
1672,120
1673,-150
1674,-267
1675,213
1676,-265
1677,205
1678,-240
1679,188
1680,215
1681,-278
1682,-243
1683,-253
1684,-157
1685,128
1686,275
1687,-360
1688,215
1689,-278
1690,-190
1691,150
1692,-167
1693,133
1694,499
1695,-265
1696,190
1697,-245
1698,-127
1699,104
1700,-162
1701,130
1702,180
1703,-230
1704,-315
1705,240
1706,-185
1707,155
1708,205
1709,-265
1710,-103
1711,-122
1712,115
1713,-143
1714,-250
1715,200
1716,-165
1717,132
1718,150
1719,-186
1720,-250
1721,200
1722,-190
1723,150
1724,-400
1725,300
1726,170
1727,-215
1728,100
1729,-124
1730,750
1731,-1430
1732,-250
1733,200
1734,-137
1735,110
1736,-245
1737,190
1738,-265
1739,205
1740,199
1741,-240
1742,-244
1743,-240
1744,110
1745,-130
1746,-600
1747,425
1748,255
1749,-335
1750,-120
1751,100
1752,165
1753,-210
1754,275
1755,-400
1756,-180
1757,150
1758,145
1759,-182
1760,-200
1761,160
1762,-590
1763,420
1764,-278
1765,215
1766,-157
1767,125
1768,-305
1769,235
1770,-180
1771,143
1772,-900
1773,600
1774,-375
1775,285
1776,-910
1777,600
1778,100
1779,-132
1780,-560
1781,400
1782,-440
1783,340
1784,750
1785,-1430
1786,320
1787,-420
1788,285
1789,-375
1790,-210
1791,165
1792,195
1793,-250
1794,-300
1795,250
1796,-345
1797,270
1798,120
1799,-150
1800,102
1801,-127
1802,180
1803,-230
1804,350
1805,-480
1806,-150
1807,130
1808,-104
1809,-121
1810,-134
1811,108
1812,-165
1813,132
1814,-137
1815,110
1816,-210
1817,175
1818,-278
1819,215
1820,140
1821,-165
1822,310
1823,-420
1824,-180
1825,150
1826,132
1827,-165
1828,116
1829,-143
1830,138
1831,-175
1832,123
1833,-152
1834,-180
1835,143
1836,-109
1837,-113
1838,123
1839,-155
1840,165
1841,-205
1842,-195
1843,155
1844,-225
1845,175
1846,285
1847,-375
1848,190
1849,-245
1850,104
1851,-127
1852,-105
1853,-118
1854,-400
1855,300
1856,-170
1857,140
1858,145
1859,-182
1860,-143
1861,116
1862,-245
1863,190
1864,-150
1865,130
1866,-215
1867,170
1868,-117
1869,-106
1870,-195
1871,155
1872,-350
1873,285
1874,120
1875,-150
1876,-175
1877,150
1878,-240
1879,200
1880,-136
1881,110
1882,-265
1883,205
1884,-345
1885,265
1886,-159
1887,128
1888,285
1889,-375
1890,105
1891,-130
1892,110
1893,-130
1894,180
1895,-230
1896,250
1897,-335
1898,280
1899,-350
1900,-141
1901,114
1902,200
1903,-250
1904,120
1905,-150
1906,-480
1907,360
1908,143
1909,-180
1910,-110
1911,-113
1912,1050
1913,-2000
1914,160
1915,-200
1916,-167
1917,135
1918,-190
1919,160
1920,-148
1921,118
1922,250
1923,-310
1924,-560
1925,400
1926,340
1927,-455
1928,270
1929,-360
1930,-104
1931,-121
1932,-180
1933,143
1934,-420
1935,320
1936,-335
1937,250
1938,-175
1939,138
1940,240
1941,-315
1942,130
1943,-155
1944,160
1945,-200
1946,148
1947,-186
1948,107
1949,-115
1950,-590
1951,425
1952,-250
1953,195
1954,-225
1955,175
1956,-190
1957,150
1958,150
1959,-180
1960,-455
1961,340
1962,155
1963,-195
1964,-625
1965,450
1966,510
1967,-715
1968,-590
1969,420
1970,-255
1971,215
1972,-192
1973,160
1974,110
1975,-130
1976,-132
1977,107
1978,-205
1979,175
1980,165
1981,-190
1982,-177
1983,140
1984,110
1985,-136
1986,210
1987,-275
1988,180
1989,-230
1990,-600
1991,425
1992,-278
1993,215
1994,400
1995,-550
1996,-159
1997,130
1998,-400
1999,300
2000,-141
2001,121
2002,-230
2003,180
2004,136
2005,136
2006,270
2007,-360
2008,350
2009,-480
2010,350
2011,-480
2012,118
2013,-148
2014,320
2015,-420
2016,-143
2017,117
2018,114
2019,-141
2020,125
2021,-157
2022,210
2023,-275
2024,160
2025,-200
2026,139
2027,-420
2028,200
2029,-225
2030,220
2031,-265
2032,-345
2033,270
2034,-124
2035,100
2036,340
2037,-440
2038,215
2039,-275
2040,-305
2041,240
2042,124
2043,-148
2044,425
2045,-590
2046,250
2047,-335
2048,210
2049,-275
2050,160
2051,-200
2052,102
2053,-127
2054,125
2055,-157
2056,-670
2057,480
2058,-270
2059,205
2060,-105
2061,-115
2062,-195
2063,155
2064,115
2065,-143
2066,-275
2067,215
2068,225
2069,-275
2070,188
2071,-240
2072,-124
2073,100
2074,150
2075,-190
2076,155
2077,-195
2078,290
2079,-385
2080,135
2081,-167
2082,460
2083,-650
2084,-127
2085,102
2086,150
2087,-180
2088,160
2089,-200
2090,100
2091,-120
2092,-143
2093,115
2094,-205
2095,165
2096,-240
2097,200
2098,-335
2099,260
2100,-165
2101,132
2102,-375
2103,285
2104,275
2105,-335
2106,-250
2107,195
2108,-120
2109,-105
2110,430
2111,-590
2112,-225
2113,180
2114,-120
2115,100
2116,123
2117,-152
2118,185
2119,-235
2120,350
2121,-480
2122,-278
2123,215
2124,260
2125,-330
2126,950
2127,-1667
2128,-125
2129,102
2130,175
2131,-225
2132,-230
2133,195
2134,-110
2135,-106
2136,-112
2137,-112
2138,112
2139,-137
2140,-225
2141,-225
2142,-155
2143,123
2144,325
2145,-435
2146,-112
2147,-112
2148,300
2149,-400
2150,-150
2151,120
2152,105
2153,-130
2154,195
2155,-250
2156,138
2157,-175
2158,195
2159,-250
2160,270
2161,-360
2162,-105
2163,-118
2164,-195
2165,155
2166,-225
2167,175
2168,-107
2169,-115
2170,-118
2171,-105
2172,100
2173,-124
2174,170
2175,-215
2176,160
2177,-200
2178,-110
2179,-110
2180,-175
2181,138
2182,-104
2183,-120
2184,116
2185,-143
2186,-301
2187,251
2188,-132
2189,106
2190,150
2191,-190
2192,-175
2193,150
2194,340
2195,-455
2196,-159
2197,128
2198,-150
2199,120
2200,138
2201,-175
2202,-225
2203,175
2204,265
2205,-345
2206,335
2207,-455
2208,-235
2209,185
2210,110
2211,-137
2212,-150
2213,125
2214,295
2215,-400
2216,205
2217,-265
2218,-240
2219,188
2220,-129
2221,104
2222,-160
2223,135
2224,-230
2225,180
2226,-278
2227,215
2228,-210
2229,180
2230,180
2231,-230
2232,-450
2233,350
2234,-230
2235,195
2236,-670
2237,475
2238,-141
2239,114
2240,215
2241,-278
2242,-345
2243,260
2244,-165
2245,132
2246,-480
2247,360
2248,170
2249,-215
2250,-240
2251,188
2252,215
2253,-278
2254,-143
2255,115
2256,430
2257,-590
2258,-400
2259,300
2260,165
2261,-210
2262,-175
2263,150
2264,-135
2265,115
2266,170
2267,-200
2268,700
2269,-1115
2270,550
2271,-770
2272,-159
2273,128
2274,-148
2275,118
2276,-127
2277,104
2278,270
2279,-360
2280,-240
2281,188
2282,425
2283,-525
2284,295
2285,-375
2286,-117
2287,-107
2288,-1250
2289,750
2290,-245
2291,190
2292,170
2293,-215
2294,430
2295,-590
2296,-143
2297,116
2298,235
2299,-305
2300,600
2301,-910
2302,163
2303,-205
2304,-159
2305,128
2306,-127
2307,105
2308,200
2309,-250
2310,-136
2311,110
2312,250
2313,-335
2314,-315
2315,245
2316,-265
2317,205
2318,-167
2319,135
2320,1300
2321,-3335
2322,-160
2323,135
2324,-290
2325,235
2326,-315
2327,240
2328,-180
2329,150
2330,245
2331,-315
2332,143
2333,-180
2334,190
2335,-230
2336,195
2337,-250
2338,410
2339,-560
2340,-124
2341,100
2342,-200
2343,-112
2344,125
2345,-157
2346,-245
2347,190
2348,163
2349,-205
2350,-137
2351,110
2352,-127
2353,102
2354,155
2355,-200
2356,170
2357,-220
2358,104
2359,-129
2360,-850
2361,575
2362,-385
2363,290
2364,-500
2365,380
2366,110
2367,-133
2368,-114
2369,-109
2370,107
2371,-132
2372,475
2373,-670
2374,143
2375,-180
2376,-315
2377,240
2378,-220
2379,170
2380,-190
2381,155
2382,155
2383,-195
2384,155
2385,-195
2386,-140
2387,120
2388,310
2389,-420
2390,130
2391,-150
2392,155
2393,-195
2394,180
2395,-230
2396,850
2397,-1430
2398,132
2399,-165
2400,200
2401,-240
2402,-167
2403,133
2404,-130
2405,110
2406,-225
2407,175
2408,160
2409,-192
2410,-132
2411,107
2412,265
2413,-345
2414,270
2415,-360
2416,-190
2417,150
2418,150
2419,-180
2420,-220
2421,170
2422,-455
2423,335
2424,135
2425,-175
2426,155
2427,-195
2428,-315
2429,240
2430,260
2431,-335
2432,112
2433,-139
2434,150
2435,-186
2436,205
2437,-265
2438,180
2439,-230
2440,250
2441,-300
2442,-103
2443,-121
2444,380
2445,-530
2446,170
2447,-205
2448,400
2449,-560
2450,-139
2451,112
2452,180
2453,-225
2454,150
2455,-186
2456,-350
2457,275
2458,500
2459,-715
2460,-235
2461,195
2462,-335
2463,250
2464,180
2465,-215
2466,164
2467,-198
2468,-195
2469,155
2470,-265
2471,205
2472,-400
2473,300
2474,-235
2475,190
2476,-275
2477,215
2478,-225
2479,175
2480,155
2481,-195
2482,115
2483,-143
2484,-625
2485,455
2486,240
2487,-315
2488,116
2489,-143
2490,120
2491,-150
2492,-335
2493,250
2494,-195
2495,155
2496,-270
2497,205
2498,125
2499,-157
2500,-141
2501,114
2502,140
2503,-177
2504,164
2505,-198
2506,143
2507,-180
2508,225
2509,-295
2510,-108
2511,-112
2512,220
2513,-270
2514,370
2515,-500
2516,330
2517,-435
2518,-420
2519,320
2520,-230
2521,180
2522,250
2523,-335
2524,525
2525,-770
2526,-670
2527,480
2528,-265
2529,205
2530,-1430
2531,750
2532,230
2533,-305
2534,-910
2535,600
2536,106
2537,-132
2538,145
2539,-182
2540,-1000
2541,650
2542,-134
2543,108
2544,-143
2545,116
2546,-278
2547,215
2548,106
2549,-132
2550,250
2551,-335
2552,114
2553,-135
2554,-175
2555,145
2556,-110
2557,-110
2558,120
2559,-148
2560,600
2561,-900
2562,150
2563,-184
2564,110
2565,-135
2566,590
2567,-950
2568,235
2569,-300
2570,750
2571,-1115
2572,205
2573,-260
2574,155
2575,-195
2576,188
2577,-225
2578,575
2579,-835
2580,112
2581,-137
2582,135
2583,-167
2584,-124
2585,100
2586,-215
2587,170
2588,-265
2589,205
2590,-175
2591,138
2592,270
2593,-360
2594,125
2595,-157
2596,420
2597,-590
2598,240
2599,-305
2600,-278
2601,225
2602,220
2603,-270
2604,290
2605,-375
2606,240
2607,-305
2608,-590
2609,420
2610,-157
2611,125
2612,270
2613,-360
2614,-175
2615,138
2616,205
2617,-265
2618,-215
2619,170
2620,100
2621,-124
2622,135
2623,-167
2624,-137
2625,112
2626,-835
2627,575
2628,-200
2629,170
2630,210
2631,-280
2632,-165
2633,140
2634,-400
2635,310
2636,-330
2637,260
2638,180
2639,-225
2640,525
2641,-750
2642,-240
2643,200
2644,-150
2645,130
2646,160
2647,-185
2648,120
2649,-140
2650,170
2651,-200
2652,105
2653,-125
2654,-238
2655,195
